게시글번호,제목,닉네임,날짜,조회수,추천수
37928,신촌 버스킹에서 전력을 어디에서 구할수 있을까요??ㅠ,wnsgur,2017-10-28,73,0
37890,혹시 기타로 mr 만들어주실분 있으신가요 ㅠㅠ,두루마리휴지,2017-10-27,58,0
37862,버스킹 조언좀?[7],Gyeom,2017-10-26,168,0
37840,큐브ex에 보컬이펙터 연결가능한가요???[4],xodnals2,2017-10-25,133,0
37837,"뮤지션,,그리고 가수,, 래퍼,,?[5]",take over,2017-10-25,116,0
37831,파워뱅크 바로 연결하시는 분들~~?[4],허클이,2017-10-24,121,0
37826,버스킹 장비,Gyeom,2017-10-24,68,0
37816,버스킹 장비!!?[2],킁이,2017-10-24,69,0
37804,버스킹!! 자리!!?[4],킁이,2017-10-24,189,1
37676,"야외행사 공연시 갑자기 내린 비에 장비가 고장나면, 주최측에서 물어주나요?",박진아입니다,2017-10-20,148,0
0,"?야외행사 공연시 갑자기 내린 비에 장비가 고장나면, 주최측에서 물어주나요?",세자전거,2017-10-20,0,0
37638,대전 버스킹 장소 질문(오늘 대전 놀러왔다가 잠깐 들려볼까 합니다.),피크,2017-10-18,45,0
37620,경남 진주 힙합 음악 버스킹 할만한 곳 있을까요?,빡형님,2017-10-18,62,0
0,?경남 진주 힙합 음악 버스킹 할만한 곳 있을까요?,케슬러,2017-10-18,0,0
37456,음악 크루같은건 어디서 들어갈 수 있나요??[1],어둠의기타연주자,2017-10-12,392,0
0,?음악 크루같은건 어디서 들어갈 수 있나요?,따따루,2017-10-13,0,0
0,?음악 크루같은건 어디서 들어갈 수 있나요?,르포포,2017-10-13,0,0
0,?음악 크루같은건 어디서 들어갈 수 있나요?,영Fe,2017-10-15,0,0
37420,Roland xps-10 건반 사용해보신분 있으신가요?,벜,2017-10-11,29,0
37412,김광석거리 버스킹선배님들 질문있습니다~~!?[3],이지은아이유,2017-10-11,137,0
37394,인천에서 버스킹하시는 분들 질문!,PLUG,2017-10-10,75,0
37388,"충남, 충북 지역 중 버스킹 가장 활발한 도시 추천 좀 해주세요!!",팔로킴,2017-10-10,43,0
0,"?충남, 충북 지역 중 버스킹 가장 활발한 도시 추천 좀 해주세요!!",따따루,2017-10-13,0,0
37386,기타 손가락 관절통증?[4],jazzblue,2017-10-10,190,0
0,?기타 손가락 관절통증,따따루,2017-10-13,1,0
37384,기타에 마이크 장착 방법??[2],jazzblue,2017-10-10,71,0
37375,모노리스 엠프관련궁금한사항입니다?[3],행복한딴따라,2017-10-09,100,0
37355,큐브스트리트 이동(캐리어) 어떻게 하고 계시나요??[14],청춘옴므,2017-10-09,187,0
0,?큐브스트리트 이동(캐리어) 어떻게 하고 계시나요?,르포포,2017-10-11,1,0
37334,한강 버스킹?[1],asdasdsd,2017-10-08,569,0
0,?한강 버스킹,르포포,2017-10-11,0,0
0,?한강 버스킹,아빠다리 멀티 리더,2017-10-23,2,0
37303,대전 버스커분들 콜라보하실분 있으신가요?!,영Fe,2017-10-06,23,0
37294,버스킹 하려면?[2],갓미,2017-10-06,138,0
0,?버스킹 하려면,따따루,2017-10-13,1,0
37252,큐브스트리트ex 중고가?[8],김윤수 1,2017-10-04,216,0
0,?큐브스트리트ex 중고가?[1],영Fe,2017-10-06,0,0
37245,예비 1인버스커 입니다.?[2],네로,2017-10-04,172,0
0,?예비 1인버스커 입니다.,take over,2017-10-04,0,0
0,?예비 1인버스커 입니다.,영Fe,2017-10-06,0,0
0,?예비 1인버스커 입니다.,따따루,2017-10-13,1,0
37234,연습은 보통 어떻게 하시나요??[2],ESCD,2017-10-03,161,0
0,?연습은 보통 어떻게 하시나요?,영Fe,2017-10-06,0,0
0,?연습은 보통 어떻게 하시나요??[1],따따루,2017-10-13,0,0
37210,모든지역요 알려주세요^^?[10],bigclassing,2017-10-02,162,0
0,?모든지역요 알려주세요^^,영Fe,2017-10-06,1,0
0,?모든지역요 알려주세요^^,따따루,2017-10-13,1,0
0,?모든지역요 알려주세요^^,따따루,2017-10-13,1,0
37203,대구에서 홍대 버스킹 구경가려고 합니다.?[11],갈루아이자식,2017-10-01,86,0
37177,이동형 앰프 질문요?[6],큘트,2017-09-30,105,0
37115,소개양식관련 운영진님들께 질문드립니다?[1],어흥,2017-09-27,115,0
0,?소개양식관련 운영진님들께 질문드립니다?[1],Eric Lee,2017-09-29,2,0
37073,버스킹의 뜻이 무엇인가요?,magic865,2017-09-26,397,0
0,?버스킹의 뜻이 무엇인가요?,사람주나무,2017-09-26,0,0
0,?버스킹의 뜻이 무엇인가요?,영Fe,2017-10-06,0,0
0,?버스킹의 뜻이 무엇인가요?,따따루,2017-10-13,0,0
37071,홍대 버스킹 새벽에도 하나요??[6],갈루아이자식,2017-09-25,195,0
37069,광교호수공원 / 동탄 센트럴 파크 버스킹!?[2],화영,2017-09-25,109,0
37044,보라매공원 공연 가능한가요??[3],xXx,2017-09-24,121,0
0,?보라매공원 공연 가능한가요?,영Fe,2017-10-06,0,0
37029,한강에서 초보 버스커들이 할만한곳?,기타쟁이28,2017-09-24,199,0
0,?한강에서 초보 버스커들이 할만한곳??[1],시준e,2017-09-25,1,0
0,?한강에서 초보 버스커들이 할만한곳?,따따루,2017-10-13,2,0
37023,배터리 or 파워뱅크 관련 도움주세요ㅜㅜ?[13],허클이,2017-09-24,166,0
36998,제주도 버스킹여행할때..?[13],ss두이,2017-09-23,136,0
36986,"버스킹 시, 앰프에 연결하는 이어마이크 좋은 제품 있나요??[2]",ss두이,2017-09-22,87,0
36953,홍대 버스킹?[4],asdkfjh,2017-09-21,147,0
36921,Ac-33스피커의 대안?[4],Wkrdmsdydrl1234,2017-09-20,133,0
36879,혹시 경상북도에 거주하시는 분??,팔로킴,2017-09-18,40,0
36861,큐브스트리트랑 큐브EX 질문?[4],발전가능성,2017-09-17,186,0
0,?큐브스트리트랑 큐브EX 질문?[2],DayStar,2017-09-18,0,0
0,?큐브스트리트랑 큐브EX 질문,영Fe,2017-10-06,0,0
36852,현재 제 셋리스트는 어떤가요??[6],화영,2017-09-17,212,0
0,?현재 제 셋리스트는 어떤가요?,Lil Luck,2017-10-03,1,0
36847,이어아이크나 엠프 질문입니다.,magic865,2017-09-17,30,0
36828,건반 가방 맞춤제작 인터넷으로 주문할 수 있는 곳 있나요??? 또는 가방 추천 !?[2],달리 dalee,2017-09-16,42,0
36776,마이크 추천 sm58제외,김윤수 1,2017-09-14,87,0
36775,구미 지역 버스킹 하시는분들 질문이요!!?[1],김윤수 1,2017-09-14,41,0
36769,한강 버스킹?[2],qkr547,2017-09-14,136,0
36768,처음 버스킹을 하러갑니다!도움 부탁드려요!?[2],qkr547,2017-09-14,176,0
36765,전주 한옥마을?[2],김윤수 1,2017-09-14,60,0
36751,순천 조례호수공원 무대있던데 버스킹 가능한가요?,바람풍경소리,2017-09-14,23,0
36743,반응 좋지만 어렵지 않은 버스킹 곡 추천부탁드립니다,김윤수 1,2017-09-13,178,0
0,?반응 좋지만 어렵지 않은 버스킹 곡 추천부탁드립니다?[6],말랑오리,2017-09-14,0,0
36717,버스킹 장소!!?[2],김윤수 1,2017-09-12,121,0
36716,큐브스트리트 ex or 다른 장비추천??[2],김윤수 1,2017-09-12,111,0
36662,큐브 스트리트 ex구매 계획인데요..??[6],여수순천,2017-09-11,161,0
36642,스트리트큐브 & 큐브ex mr버스킹사용시?[1],missri,2017-09-11,123,0
36616,뉴로드스타30 마이크 음질?[3],기타치노,2017-09-10,73,0
36607,큐브스트리트 ex 쓰고있는데요 max로두면 마이크 음질이 깨지는데 왜그런건가여???[4],jnornor,2017-09-10,162,0
36596,버스킹시 외국인이 지켜보면?[8],jazzblue,2017-09-09,212,0
36575,건반으로 버스킹하시는분들!,그밤,2017-09-08,78,0
36574,사운드박스 미니 써보신분?,퀜치,2017-09-08,38,0
36562,앰프 질문있습니다?[2],지몽지몽,2017-09-07,80,0
36515,9월 16일 대전에서 같이 공연하실 버스킹팀이나 밴드 있을까요??,siha75,2017-09-06,66,0
36496,큐브스트리트보다 작고 가벼운 앰프 추천 부탁합니다?[3],mojopin,2017-09-05,190,0
36371,"큐브 스트리트EX 사용중인데, 앰프 스탠드 필요한가요??[4]",래퍼 그린그레이,2017-08-31,143,0
36365,안녕하세요 다음주에 명동 공연할려고 하는데?[2],남자이니까,2017-08-31,89,1
36360,건반 버스킹하시는분들,그밤,2017-08-31,78,0
