"","code","day","p.young","p.old","weekdays"
"391",14,2018-04-01,96550.4120588969,100691.516371958,"일"
"392",14,2018-04-02,90814.9077580137,95102.5664035092,"월"
"393",14,2018-04-03,92180.7333224507,96996.4409943237,"화"
"394",14,2018-04-04,93989.5052069491,99279.4296402574,"수"
"395",14,2018-04-05,95913.8703220307,101243.174216426,"목"
"396",14,2018-04-06,97789.4649118851,103374.765506032,"금"
"397",14,2018-04-07,99928.5859359305,105639.893092532,"토"
"398",14,2018-04-08,97041.9921259945,103936.625665444,"일"
"399",14,2018-04-09,91110.718575379,98172.7893324521,"월"
"400",14,2018-04-10,92561.1275413424,99423.8403570154,"화"
"401",14,2018-04-11,94252.6732722618,100956.572420632,"수"
"402",14,2018-04-12,96128.1600908886,102671.506179298,"목"
"403",14,2018-04-13,97990.1596628881,104627.945245598,"금"
"404",14,2018-04-14,100233.609869021,106737.674858394,"토"
"405",14,2018-04-15,97863.0851435578,104800.352117684,"일"
"406",14,2018-04-16,92202.2505199028,99023.0323060578,"월"
"407",14,2018-04-17,93728.6902974203,100356.227969333,"화"
"408",14,2018-04-18,95993.8127704689,102379.324405649,"수"
"409",14,2018-04-19,98638.490315107,104692.588927809,"목"
"410",14,2018-04-20,100682.446613978,106625.215233815,"금"
"411",14,2018-04-21,103224.764158825,108393.658447897,"토"
"412",14,2018-04-22,100722.415604987,105726.702184923,"일"
"413",14,2018-04-23,96471.7763207236,99714.0629600516,"월"
"414",14,2018-04-24,93955.1989138622,94950.4926101341,"화"
"415",14,2018-04-25,94701.0275482199,96203.0144748539,"수"
"416",14,2018-04-26,95753.3013036544,97815.6267780667,"목"
"417",14,2018-04-27,96623.9399238228,99705.3077142255,"금"
"418",14,2018-04-28,98272.5607364702,101173.03435672,"토"
"419",14,2018-04-29,94719.9753188022,98075.1893570289,"일"
"420",14,2018-04-30,92251.8242843027,94045.1865819939,"월"
"421",15,2018-04-01,17348.2670298462,26531.3575580284,"일"
"422",15,2018-04-02,17838.5105816022,26851.6790768572,"월"
"423",15,2018-04-03,17654.3829875268,26563.1966791377,"화"
"424",15,2018-04-04,17486.0887986338,26347.5924770694,"수"
"425",15,2018-04-05,17359.3800203057,26174.9622633342,"목"
"426",15,2018-04-06,17264.4334737483,26251.3716709056,"금"
"427",15,2018-04-07,17159.4510933478,26100.5853821049,"토"
"428",15,2018-04-08,17333.1186271375,26496.3354049187,"일"
"429",15,2018-04-09,17434.1515931925,26702.4395480164,"월"
"430",15,2018-04-10,17266.2553085793,26525.7177793522,"화"
"431",15,2018-04-11,17121.5337423055,26334.2043720461,"수"
"432",15,2018-04-12,16920.3323077707,25923.5112518256,"목"
"433",15,2018-04-13,16841.6049649937,25816.6189859157,"금"
"434",15,2018-04-14,16766.0560413451,25632.5291190512,"토"
"435",15,2018-04-15,16966.1067137095,26072.1849752342,"일"
"436",15,2018-04-16,17140.9543563024,26381.9634305146,"월"
"437",15,2018-04-17,17003.283678937,26214.4971235272,"화"
"438",15,2018-04-18,16879.8730160922,26038.4352437901,"수"
"439",15,2018-04-19,16829.6702889859,25983.5309456804,"목"
"440",15,2018-04-20,16764.6581566666,25935.9178477647,"금"
"441",15,2018-04-21,16685.0236594197,25830.7499228128,"토"
"442",15,2018-04-22,16878.6586547901,26269.7291022536,"일"
"443",15,2018-04-23,17057.6072275751,26667.5208466445,"월"
"444",15,2018-04-24,17080.4901303991,26691.4307400483,"화"
"445",15,2018-04-25,16945.7542962693,26526.5896959022,"수"
"446",15,2018-04-26,16859.7380142822,26369.5787873349,"목"
"447",15,2018-04-27,16770.4944520764,26239.2235897116,"금"
"448",15,2018-04-28,16713.4617154225,26089.8935642286,"토"
"449",15,2018-04-29,16910.7742742789,26451.0699218039,"일"
"450",15,2018-04-30,17066.9673944325,26732.3307902981,"월"
"451",16,2018-04-01,15889.191537297,38664.8832800403,"일"
"452",16,2018-04-02,15028.6540910303,34214.4325545466,"월"
"453",16,2018-04-03,16062.8917260697,38513.5150371205,"화"
"454",16,2018-04-04,15636.0607687198,38556.0992782464,"수"
"455",16,2018-04-05,16086.138612287,39476.158942293,"목"
"456",16,2018-04-06,16434.0519056147,41171.3161135367,"금"
"457",16,2018-04-07,16545.3771525295,40710.2337319974,"토"
"458",16,2018-04-08,16110.6707703914,40526.755710186,"일"
"459",16,2018-04-09,15773.1436215276,35513.9273359836,"월"
"460",16,2018-04-10,15709.8987193797,37539.2382608608,"화"
"461",16,2018-04-11,15361.95077809,38231.3061338604,"수"
"462",16,2018-04-12,15839.974060546,38936.8751258639,"목"
"463",16,2018-04-13,16394.0809053847,39496.0103365868,"금"
"464",16,2018-04-14,16335.5347700455,39294.0416541209,"토"
"465",16,2018-04-15,15698.3537195038,38806.0352886439,"일"
"466",16,2018-04-16,15263.6690858344,33996.704469769,"월"
"467",16,2018-04-17,15937.7854090299,37379.4668767513,"화"
"468",16,2018-04-18,16413.1778369407,38729.7595413426,"수"
"469",16,2018-04-19,16242.2402053032,39103.9213682613,"목"
"470",16,2018-04-20,16448.058097008,39763.4477752427,"금"
"471",16,2018-04-21,16553.8089265608,39980.9539947514,"토"
"472",16,2018-04-22,16344.2329876201,38748.329585703,"일"
"473",16,2018-04-23,14788.5013005948,33700.2006575684,"월"
"474",16,2018-04-24,15427.5050972336,34734.7239638751,"화"
"475",16,2018-04-25,16501.7898244186,37046.1696349824,"수"
"476",16,2018-04-26,16726.5879568113,38130.3549421612,"목"
"477",16,2018-04-27,16513.504655141,39954.5900693381,"금"
"478",16,2018-04-28,16069.3988178917,40314.1798094384,"토"
"479",16,2018-04-29,15960.4395846811,39453.7617567848,"일"
"480",16,2018-04-30,14372.9603498231,35071.0766327512,"월"
"481",17,2018-04-01,7675.82723075413,11382.1966491196,"일"
"482",17,2018-04-02,7850.20471812815,11307.9266675155,"월"
"483",17,2018-04-03,7729.62007265008,11109.8452822007,"화"
"484",17,2018-04-04,7596.71287049096,11173.9072616957,"수"
"485",17,2018-04-05,7534.73269088248,11089.1566991792,"목"
"486",17,2018-04-06,7455.74645886244,11248.8862819365,"금"
"487",17,2018-04-07,7476.26936596341,11745.8413788134,"토"
"488",17,2018-04-08,7739.92219062534,11806.6438584702,"일"
"489",17,2018-04-09,7919.16443636363,11552.4239366445,"월"
"490",17,2018-04-10,7842.9054560383,11607.6896716622,"화"
"491",17,2018-04-11,7866.61174178967,11547.8936256399,"수"
"492",17,2018-04-12,7797.25898144036,11647.400263225,"목"
"493",17,2018-04-13,7737.57200058164,11699.0069210137,"금"
"494",17,2018-04-14,7666.55232425737,11545.3251863407,"토"
"495",17,2018-04-15,7840.41064076923,12008.6751870584,"일"
"496",17,2018-04-16,7954.63781758613,11842.0843152089,"월"
